Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,,,Microsoft.Extensions.Configuration.Abstractions 9.0.5,,,,,"Microsoft.Extensions.Configuration.Abstractions, 9.0.5  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,,,Microsoft.Extensions.Http 9.0.5,,,,,"Microsoft.Extensions.Http, 9.0.5  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\Helpers\ServiceProviderHelper.cs,19,12,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,services.AddHttpClient();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\CaptureMeta\CaptureYouTubeMeta.cs,54,16,P:System.Uri.AbsolutePath,,,,,return uri.AbsolutePath.TrimStart('/').Split('?')[0];
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\CaptureMeta\CaptureYouTubeMeta.cs,48,12,T:System.Uri,,,,,var uri = new System.Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\CaptureMeta\CaptureYouTubeMeta.cs,48,12,M:System.Uri.#ctor(System.String),,,,,var uri = new System.Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\CaptureMeta\CaptureHtmlPageMeta.cs,38,12,T:System.Uri,,,,,var uri = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\CaptureMeta\CaptureHtmlPageMeta.cs,38,12,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\MetaScraperOpenAI.cs,40,12,T:System.Uri,,,,,var uri = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\MetaScraperOpenAI.cs,40,12,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\MetaScraper.cs,15,12,T:System.Uri,,,,,var uri = new Uri(url);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,blastcms.ArticleScanService\blastcms.ArticleScanService.csproj,File,blastcms.ArticleScanService\MetaScraper.cs,15,12,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(url);
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.FusionAuthService\blastcms.FusionAuthService.csproj,File,blastcms.FusionAuthService\blastcms.FusionAuthService.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.5,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.5  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.FusionAuthService\blastcms.FusionAuthService.csproj,File,blastcms.FusionAuthService\blastcms.FusionAuthService.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 9.0.5,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 9.0.5  Recommendation:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,blastcms.FusionAuthService\blastcms.FusionAuthService.csproj,File,blastcms.FusionAuthService\blastcms.FusionAuthService.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,blastcms.FusionAuthService.Tests\blastcms.FusionAuthService.Tests.csproj,File,blastcms.FusionAuthService.Tests\blastcms.FusionAuthService.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.ImageResizeService\blastcms.ImageResizeService.csproj,File,blastcms.ImageResizeService\blastcms.ImageResizeService.csproj,,,Microsoft.Extensions.Configuration.Abstractions 9.0.5,,,,,"Microsoft.Extensions.Configuration.Abstractions, 9.0.5  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.ImageResizeService\blastcms.ImageResizeService.csproj,File,blastcms.ImageResizeService\blastcms.ImageResizeService.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,blastcms.ImageResizeService\blastcms.ImageResizeService.csproj,File,blastcms.ImageResizeService\blastcms.ImageResizeService.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,blastcms.UserManagement\blastcms.UserManagement.csproj,File,blastcms.UserManagement\blastcms.UserManagement.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\blastcms.web.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 9.0.0,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 9.0.0  Recommendation:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\blastcms.web.csproj,,,Microsoft.AspNetCore.Cryptography.KeyDerivation 9.0.0,,,,,"Microsoft.AspNetCore.Cryptography.KeyDerivation, 9.0.0  Recommendation:  Remove Microsoft.AspNetCore.Cryptography.KeyDerivation, and replace with new package Microsoft.AspNetCore.Cryptography.KeyDerivation 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\blastcms.web.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\blastcms.web.csproj,,,FluentValidation.AspNetCore 11.3.0,,,,,"FluentValidation.AspNetCore, 11.3.0  Recommendation:  Should be replaced. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\blastcms.web.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\Infrastructure\CQRSDispatcherExtensions.cs,18,12,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"services.Scan(scan => scan.FromAssemblies(assembly)              .AddClasses(classes => classes.AssignableTo(typeof(IRequestHandler<,>)))                  .AsImplementedInterfaces()                  .WithScopedLifetime()              .AddClasses(classes => classes.AssignableTo(typeof(IRequestHandler<>)))                  .AsImplementedInterfaces()                  .WithScopedLifetime());"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\CloudStorage\GoogleCloudStorage.cs,36,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_maxAllowedUploadSize = configuration.GetValue<int>(""MaxAllowedFileUploadSize"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\CloudStorage\GoogleCloudStorage.cs,35,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_bucketName = configuration.GetValue<string>(""GoogleCloudStorageBucket"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\CloudStorage\GoogleCloudStorage.cs,30,16,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_googleCredential = GoogleCredential.FromFile(configuration.GetValue<string>(""GoogleCredentialFile""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\CloudStorage\GoogleCloudStorage.cs,24,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"if (string.IsNullOrEmpty(configuration.GetValue<string>(""GoogleCredentialFile"")))              {                  _googleCredential = GoogleCredential.GetApplicationDefault();              }              else              {                  _googleCredential = GoogleCredential.FromFile(configuration.GetValue<string>(""GoogleCredentialFile""));              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,blastcms.web\blastcms.web.csproj,File,blastcms.web\CloudStorage\GoogleCloudStorage.cs,36,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"_maxAllowedUploadSize = configuration.GetValue<int>(""MaxAllowedFileUploadSize"");"
